字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
061700001,蟊賊,ㄇㄠˊ　ㄗㄟˊ,máo zéi,
061600005,茅塞,ㄇㄠˊ　ㄙㄜˋ,máo sè,
0616000051,茅塞頓開,ㄇㄠˊ　ㄙㄜˋ　ㄉㄨㄣˋ　ㄎㄞ,máo sè dùn kāi,
061600004,茅草,ㄇㄠˊ　ㄘㄠˇ,máo cǎo,
0616000031,茅舍,ㄇㄠˊ　ㄕㄜˋ,máo shè,
061600002,茅廬,ㄇㄠˊ　ㄌㄨˊ,máo lú,
061600003,茅坑,ㄇㄠˊ　ㄎㄥ,máo kēng,
061600001,茅房,ㄇㄠˊ　ㄈㄤˊ,máo fáng,
0616,茅,ㄇㄠˊ,máo,
061500002,矛頭,ㄇㄠˊ　ㄊㄡˊ,máo tóu,
061500001,矛盾,ㄇㄠˊ　ㄉㄨㄣˋ,máo dùn,
0614,髦,ㄇㄠˊ,máo,
0615,矛,ㄇㄠˊ,máo,
061200020,毛衣,ㄇㄠˊ　ㄧ,máo yī,
0613,旄,ㄇㄠˊ,máo,
061200019,毛額,ㄇㄠˊ　ㄜˊ,máo é,
061200018,毛遂自薦,ㄇㄠˊ　ㄙㄨㄟˋ　ㄗˋ　ㄐㄧㄢˋ,máo suì zì jiàn,
0612000172,毛躁,ㄇㄠˊ　ㄗㄠˋ,máo zào,
0612000171,毛茸茸,ㄇㄠˊ　ㄖㄨㄥˊ　ㄖㄨㄥˊ,máo róng róng,
061200017,毛手毛腳,ㄇㄠˊ　ㄕㄡˇ　ㄇㄠˊ　ㄐㄧㄠˇ,máo shǒu máo jiǎo,
061200015,毛豬,ㄇㄠˊ　ㄓㄨ,máo zhū,
061200016,毛蟲,ㄇㄠˊ　ㄔㄨㄥˊ,máo chóng,
061200014,毛線,ㄇㄠˊ　ㄒㄧㄢˋ,máo xiàn,
0612000132,毛細管現象,ㄇㄠˊ　ㄒㄧˋ　ㄍㄨㄢˇ　ㄒㄧㄢˋ　ㄒㄧㄤˋ,máo xì guǎn xiàn xiàng,
061200012,毛孔,ㄇㄠˊ　ㄎㄨㄥˇ,máo kǒng,
061200013,毛巾,ㄇㄠˊ　ㄐㄧㄣ,máo jīn,
0612000131,毛細管,ㄇㄠˊ　ㄒㄧˋ　ㄍㄨㄢˇ,máo xì guǎn,
061200011,毛坑,ㄇㄠˊ　ㄎㄥ,máo kēng,
